original_index,image_link,predicted_value
16,https://m.media-amazon.com/images/I/2174yonQBtL.jpg,1000 gram
81,https://m.media-amazon.com/images/I/31+KPbkPVPL.jpg,243 LBS
91,https://m.media-amazon.com/images/I/31+qzYwhJ9L.jpg,"200LB, 80.7 KG"
123,https://m.media-amazon.com/images/I/310PNQ4FmqL.jpg,660 lbs
134,https://m.media-amazon.com/images/I/310dh1DQxRL.jpg,50 pounds
178,https://m.media-amazon.com/images/I/312ux4Npq5L.jpg,20 pounds
197,https://m.media-amazon.com/images/I/313rlTwmR9L.jpg,401lb
228,https://m.media-amazon.com/images/I/315Mb5z2+RL.jpg,37 pounds
260,https://m.media-amazon.com/images/I/316rYL2JOBL.jpg,135 LBS TOP
293,https://m.media-amazon.com/images/I/318rqdGipZL.jpg,965.0 kg
363,https://m.media-amazon.com/images/I/31CXR2nI5xL.jpg,800 lb
396,https://m.media-amazon.com/images/I/31DwFD7WLrL.jpg,12.0 pounds
447,https://m.media-amazon.com/images/I/31Fr-EuWQcL.jpg,20 gram
451,https://m.media-amazon.com/images/I/31G28N+HgKL.jpg,23.62 inch
479,https://m.media-amazon.com/images/I/31H1c8qO3yS.jpg,132lbs
515,https://m.media-amazon.com/images/I/31I6dyYENhS.jpg,75Kg/10g
559,https://m.media-amazon.com/images/I/31Kx4J470RL.jpg,25kg
587,https://m.media-amazon.com/images/I/31MLB7TWBVL.jpg,200KG
669,https://m.media-amazon.com/images/I/31QFwwvekFL.jpg,300lb
751,https://m.media-amazon.com/images/I/31UTFzJIXPL.jpg,275lb
783,https://m.media-amazon.com/images/I/31VpDO6P9AS.jpg,500 gram
824,https://m.media-amazon.com/images/I/31XD2+MkqML.jpg,7 lb / 3.2 kg
828,https://m.media-amazon.com/images/I/31XLMYHksaS.jpg,400 lb
832,https://m.media-amazon.com/images/I/31XdQyv6r-L.jpg,1000.0 lb
861,https://m.media-amazon.com/images/I/31ZWlTKc-bL.jpg,300 lbs
877,https://m.media-amazon.com/images/I/31aPlpOmUIL.jpg,500 gram
924,https://m.media-amazon.com/images/I/31cOwC2alWL.jpg,300.0 pound
946,https://m.media-amazon.com/images/I/31dQ5mTEKlL.jpg,17.5 inch
970,https://m.media-amazon.com/images/I/31edCsspeHL.jpg,500 gram
971,https://m.media-amazon.com/images/I/31ep5GRK6pL.jpg,30 lbs
975,https://m.media-amazon.com/images/I/31eqnXbJm9L.jpg,10 pound
1014,https://m.media-amazon.com/images/I/31h6LwfeQHL.jpg,500 gram
1027,https://m.media-amazon.com/images/I/31hg9jUDP2L.jpg,500 lbs.
1135,https://m.media-amazon.com/images/I/31n2OXz+6sL.jpg,200lb
1163,https://m.media-amazon.com/images/I/31oAwFT1exL.jpg,500 gram
1182,https://m.media-amazon.com/images/I/31pQ4c6IZ9S.jpg,10.6 inch
1188,https://m.media-amazon.com/images/I/31pb2a4c1OL.jpg,50 lbs
1201,https://m.media-amazon.com/images/I/31pqPZnqjeL.jpg,2000g
1235,https://m.media-amazon.com/images/I/31r4cS5YHNL.jpg,70 inch
1255,https://m.media-amazon.com/images/I/31sEUZuHAmL.jpg,350LBS
1263,https://m.media-amazon.com/images/I/31sk6eXrdNS.jpg,360 lbs
1279,https://m.media-amazon.com/images/I/31tdbBWFnwL.jpg,120 kg
1331,https://m.media-amazon.com/images/I/31vvumCSBQL.jpg,30 gram
1348,https://m.media-amazon.com/images/I/31x4yQMMEqL.jpg,220 lbs
1405,https://m.media-amazon.com/images/I/41+-jsFn0wL.jpg,10 lbs
1422,https://m.media-amazon.com/images/I/41+3FcL9BFL.jpg,850g
1472,https://m.media-amazon.com/images/I/41+I8TfcP-L.jpg,135.0 kg
1486,https://m.media-amazon.com/images/I/41+LRnvirVL.jpg,100kg
1497,https://m.media-amazon.com/images/I/41+O05Lq0nL.jpg,300 pounds
1510,https://m.media-amazon.com/images/I/41+R7VD+iDL.jpg,500 gram
1547,https://m.media-amazon.com/images/I/41+aFE8EmeL.jpg,800 LBS
1552,https://m.media-amazon.com/images/I/41+b9VaudfL.jpg,330 LBS
1561,https://m.media-amazon.com/images/I/41+c8k5uijL.jpg,150kg / 330lbs
1573,https://m.media-amazon.com/images/I/41+ecgPog0L.jpg,500 gram
1577,https://m.media-amazon.com/images/I/41+f7D8plcL.jpg,22Lbs
1614,https://m.media-amazon.com/images/I/41+mA-bT2ZS.jpg,350 lbs
1639,https://m.media-amazon.com/images/I/41+s0odqpEL.jpg,350LBS
1673,https://m.media-amazon.com/images/I/41+vxEw-TjS.jpg,187 lbs
1676,https://m.media-amazon.com/images/I/41+xvjQSy0L.jpg,330 LBS
1683,https://m.media-amazon.com/images/I/41+zc5PZfAL.jpg,1000 gram
1690,https://m.media-amazon.com/images/I/41--Ckyg6AL.jpg,110 lb / 50 kg
1691,https://m.media-amazon.com/images/I/41--Lur7UYL.jpg,30kg
1695,https://m.media-amazon.com/images/I/41-1XNf917L.jpg,100 kg
1697,https://m.media-amazon.com/images/I/41-1YJFMd5L.jpg,265 lbs
1720,https://m.media-amazon.com/images/I/41-6ewA6WvL.jpg,15.0 pound
1726,https://m.media-amazon.com/images/I/41-7ED206NL.jpg,150 kg
1728,https://m.media-amazon.com/images/I/41-7Q2eeYUL.jpg,250kg
1731,https://m.media-amazon.com/images/I/41-9PQqGkkL.jpg,250 lbs
1739,https://m.media-amazon.com/images/I/41-Aj478QZS.jpg,200kg
1742,https://m.media-amazon.com/images/I/41-BAmKvp9L.jpg,110lbs
1765,https://m.media-amazon.com/images/I/41-HeCLD9OL.jpg,150.0 pound
1768,https://m.media-amazon.com/images/I/41-InN4c+oL.jpg,255 lbs
1769,https://m.media-amazon.com/images/I/41-Iv0xxC3L.jpg,12.5 lbs
1789,https://m.media-amazon.com/images/I/41-OKArYAWL.jpg,20 LB
1799,https://m.media-amazon.com/images/I/41-Q6JBEIjL.jpg,265 lbs
1812,https://m.media-amazon.com/images/I/41-TKzKyXHL.jpg,150kg
1852,https://m.media-amazon.com/images/I/41-ZqvmH0ML.jpg,265lb
1855,https://m.media-amazon.com/images/I/41-a7445pdL.jpg,350LBS
1856,https://m.media-amazon.com/images/I/41-aIKkV4HL.jpg,50 lbs
1858,https://m.media-amazon.com/images/I/41-bOVqZB4L.jpg,70 lbs
1873,https://m.media-amazon.com/images/I/41-g3QTvU6L.jpg,25-30 LBS
1892,https://m.media-amazon.com/images/I/41-mWIu7tpS.jpg,275 pound
1897,https://m.media-amazon.com/images/I/41-n8chKRXL.jpg,800 lbs
1904,https://m.media-amazon.com/images/I/41-o3VeU+mL.jpg,200-250lbs
1913,https://m.media-amazon.com/images/I/41-qJw0f3aL.jpg,500 KG
1914,https://m.media-amazon.com/images/I/41-qSFhizAL.jpg,300lb
1916,https://m.media-amazon.com/images/I/41-qraW6vJL.jpg,33 lbs
1936,https://m.media-amazon.com/images/I/41-wt0yujXL.jpg,150 kg
1954,https://m.media-amazon.com/images/I/41-zRc9jdDL.jpg,3.08 lb
1967,https://m.media-amazon.com/images/I/410-IXQ1fiL.jpg,35.4kg
1985,https://m.media-amazon.com/images/I/4104Eacqi8L.jpg,300LBS
2015,https://m.media-amazon.com/images/I/410AQBBH-iL.jpg,18.0 pound
2018,https://m.media-amazon.com/images/I/410B8ZyFh0L.jpg,500 gram
2031,https://m.media-amazon.com/images/I/410Fq9f0RmL.jpg,500 gram
2032,https://m.media-amazon.com/images/I/410FyD06qDL.jpg,500 gram
2034,https://m.media-amazon.com/images/I/410GTO6WpJL.jpg,330 lbs
2036,https://m.media-amazon.com/images/I/410HETvivcL.jpg,30.0 PACK
2098,https://m.media-amazon.com/images/I/410Vxh4o-SL.jpg,The image does not provide information about the maximum weight recommendation of the product.
2112,https://m.media-amazon.com/images/I/410Z2m532FL.jpg,25kg
2126,https://m.media-amazon.com/images/I/410cfKSUY5L.jpg,23.5 pound
2150,https://m.media-amazon.com/images/I/410hjGU6CGL.jpg,The image does not provide information about the maximum weight recommendation of the product.
2155,https://m.media-amazon.com/images/I/410i7q+B4PL.jpg,1000 pounds
2158,https://m.media-amazon.com/images/I/410iZ6bGM6L.jpg,500 gram
2225,https://m.media-amazon.com/images/I/410zNjbxouL.jpg,800lb
2242,https://m.media-amazon.com/images/I/4110qV9D4OS.jpg,110 lbs
2252,https://m.media-amazon.com/images/I/4112iQRNdxL.jpg,265 lbs
2270,https://m.media-amazon.com/images/I/4117IqyzOcL.jpg,65 lbs
2288,https://m.media-amazon.com/images/I/411BValYS+L.jpg,1000 gram
2296,https://m.media-amazon.com/images/I/411DZ04JpUL.jpg,141 lb
2323,https://m.media-amazon.com/images/I/411KWeDhrnL.jpg,10.0 kg
2330,https://m.media-amazon.com/images/I/411NYx8MCpL.jpg,350lb
2332,https://m.media-amazon.com/images/I/411PBPnZekL.jpg,265 LB
2366,https://m.media-amazon.com/images/I/411WROkF59L.jpg,2.000 kg
2367,https://m.media-amazon.com/images/I/411WTyPkU1L.jpg,45 lbs
2374,https://m.media-amazon.com/images/I/411YaFzG1UL.jpg,150kg
2382,https://m.media-amazon.com/images/I/411d+Nk4riS.jpg,35 lbs
2393,https://m.media-amazon.com/images/I/411gOcoKTPL.jpg,220 LBS
2497,https://m.media-amazon.com/images/I/412-M5oDMEL.jpg,500 gram
2504,https://m.media-amazon.com/images/I/412016sOLLL.jpg,58.9 kg
2519,https://m.media-amazon.com/images/I/4124npFf1RL.jpg,1000 gram
2537,https://m.media-amazon.com/images/I/4128p4fcR3L.jpg,0.7cm
2547,https://m.media-amazon.com/images/I/412ACLOVvBL.jpg,250KG
2557,https://m.media-amazon.com/images/I/412BhORlpdL.jpg,265lbs
2563,https://m.media-amazon.com/images/I/412Ch-i3PrS.jpg,32.0 inch
2574,https://m.media-amazon.com/images/I/412EdMbzpvS.jpg,700LBS
2585,https://m.media-amazon.com/images/I/412HS9g9M3L.jpg,8kg
2593,https://m.media-amazon.com/images/I/412JA4fvPwL.jpg,10lbs
2599,https://m.media-amazon.com/images/I/412KoTbaznL.jpg,264.5 lbs
2614,https://m.media-amazon.com/images/I/412NpJkhCYL.jpg,330 lbs
2623,https://m.media-amazon.com/images/I/412RSTOcVvL.jpg,30 pounds
2626,https://m.media-amazon.com/images/I/412SHmkZawL.jpg,200 lbs
2628,https://m.media-amazon.com/images/I/412T2uQedfL.jpg,20lb
2635,https://m.media-amazon.com/images/I/412UOaTZcsL.jpg,100LBS
2642,https://m.media-amazon.com/images/I/412Wv+pQ9aS.jpg,330lb
2653,https://m.media-amazon.com/images/I/412Y6Bg+dYL.jpg,600 lb
2660,https://m.media-amazon.com/images/I/412am3VN2jL.jpg,2500Lbs
2669,https://m.media-amazon.com/images/I/412bsrU+VYL.jpg,100KG
2691,https://m.media-amazon.com/images/I/412fNJUDD-L.jpg,500 gram
2698,https://m.media-amazon.com/images/I/412frL4-NlL.jpg,600LBS/270KG
2709,https://m.media-amazon.com/images/I/412iWseTdlL.jpg,330 lbs
2711,https://m.media-amazon.com/images/I/412jGUvAtBL.jpg,30LBS
2728,https://m.media-amazon.com/images/I/412oAGkpb9L.jpg,180.0 kilogram
2759,https://m.media-amazon.com/images/I/412uozwkAuL.jpg,75 lbs
2770,https://m.media-amazon.com/images/I/412y4PR+ppL.jpg,150kg
2779,https://m.media-amazon.com/images/I/412zXhChMGS.jpg,200 LB
2804,https://m.media-amazon.com/images/I/4133rOw75VL.jpg,45lb
2815,https://m.media-amazon.com/images/I/41371j9rDWL.jpg,15 lbs
2821,https://m.media-amazon.com/images/I/41398W9scpL.jpg,111 lbs
2836,https://m.media-amazon.com/images/I/413CIo9J1RL.jpg,150 pound
2846,https://m.media-amazon.com/images/I/413E45OLOHL.jpg,80 lb
2872,https://m.media-amazon.com/images/I/413Jeul+UEL.jpg,2.290OZ/65g
2889,https://m.media-amazon.com/images/I/413Pmqp1fcL.jpg,30.0 pound
2927,https://m.media-amazon.com/images/I/413X6nXS-TL.jpg,265LBS
2928,https://m.media-amazon.com/images/I/413XOT3HG7L.jpg,25kg
2935,https://m.media-amazon.com/images/I/413ZBHCHwAL.jpg,50 pounds
2981,https://m.media-amazon.com/images/I/413sQJFfUCL.jpg,330 LBS
2986,https://m.media-amazon.com/images/I/413scspZ2QL.jpg,500 gram
2994,https://m.media-amazon.com/images/I/413vGt4oLaL.jpg,150kg
3024,https://m.media-amazon.com/images/I/4141fgBhZ1L.jpg,300 lbs
3039,https://m.media-amazon.com/images/I/4144wCIG2XL.jpg,1000 gram
3054,https://m.media-amazon.com/images/I/414AYpOUWQL.jpg,108 pounds
3060,https://m.media-amazon.com/images/I/414Bk+gtYpL.jpg,330 lbs
3087,https://m.media-amazon.com/images/I/414IxgFu5cL.jpg,300 lb
3102,https://m.media-amazon.com/images/I/414NLREomXL.jpg,200g
3103,https://m.media-amazon.com/images/I/414PJxFuncL.jpg,286 lbs
3113,https://m.media-amazon.com/images/I/414Qv8mZeKL.jpg,22 pounds
3134,https://m.media-amazon.com/images/I/414Y24+ppAL.jpg,500 gram
3138,https://m.media-amazon.com/images/I/414YeuUZ4iL.jpg,65 lbs
3140,https://m.media-amazon.com/images/I/414YthhFLkL.jpg,330LB/150KG
3162,https://m.media-amazon.com/images/I/414gHWNPLvL.jpg,120 lb
3185,https://m.media-amazon.com/images/I/414io1e4SSL.jpg,1000 lb
3193,https://m.media-amazon.com/images/I/414jtOjzOnL.jpg,150kg
3198,https://m.media-amazon.com/images/I/414ktp4rmRL.jpg,7 lbs
3201,https://m.media-amazon.com/images/I/414n2XgJOLL.jpg,20.0 gram
3202,https://m.media-amazon.com/images/I/414n80wTsYL.jpg,200 lbs
3208,https://m.media-amazon.com/images/I/414qFBlYfYL.jpg,300 lb
3256,https://m.media-amazon.com/images/I/4150uROUF-L.jpg,350 lbs
3258,https://m.media-amazon.com/images/I/4151bLBDQGL.jpg,44.00 kg
3259,https://m.media-amazon.com/images/I/4151hMPWkaS.jpg,20.0 pound
3315,https://m.media-amazon.com/images/I/415ETd3iUiS.jpg,15kg
3327,https://m.media-amazon.com/images/I/415JkAAiS2L.jpg,25.6 pound
3330,https://m.media-amazon.com/images/I/415K3EU5kUL.jpg,1.8 kg
3332,https://m.media-amazon.com/images/I/415K6GITVwL.jpg,60 pounds
3341,https://m.media-amazon.com/images/I/415OUfZlfnL.jpg,200 lbs
3343,https://m.media-amazon.com/images/I/415OuDUtT1L.jpg,17 LBS
3345,https://m.media-amazon.com/images/I/415Q0roN88L.jpg,12.0 inch
3363,https://m.media-amazon.com/images/I/415TziZ0IpS.jpg,1000 gram
3364,https://m.media-amazon.com/images/I/415U9lZuYHL.jpg,200 gram
3367,https://m.media-amazon.com/images/I/415V1YwfpxL.jpg,90 KG
3378,https://m.media-amazon.com/images/I/415YdF9sA6L.jpg,300 kg
3389,https://m.media-amazon.com/images/I/415bs6gz-tL.jpg,40-100lb
3390,https://m.media-amazon.com/images/I/415cR9VWcOL.jpg,300kg
3400,https://m.media-amazon.com/images/I/415eMFhpcAL.jpg,750 pounds
3436,https://m.media-amazon.com/images/I/415mzDMThWS.jpg,90 to 220 lbs
3450,https://m.media-amazon.com/images/I/415opLbwpqL.jpg,500 gram
3497,https://m.media-amazon.com/images/I/416-OhnocHL.jpg,150KG/330LB
3505,https://m.media-amazon.com/images/I/4161Tha8NoL.jpg,500 gram
3516,https://m.media-amazon.com/images/I/4162rmKaiyL.jpg,250 LBS.
3519,https://m.media-amazon.com/images/I/4164GzL7KFL.jpg,39.5 cm
3529,https://m.media-amazon.com/images/I/41677yjUqiL.jpg,220lb
3545,https://m.media-amazon.com/images/I/416BQPAomvL.jpg,560 lbs
3556,https://m.media-amazon.com/images/I/416Ebccjr-L.jpg,100.0 kg
3614,https://m.media-amazon.com/images/I/416SsQtGoaL.jpg,286 IBS
3617,https://m.media-amazon.com/images/I/416UVUvC5iL.jpg,276 LBS
3621,https://m.media-amazon.com/images/I/416Wannu10L.jpg,20.8 KG
3622,https://m.media-amazon.com/images/I/416Wjvk4zUL.jpg,300LBS
3631,https://m.media-amazon.com/images/I/416a+GB8OWS.jpg,0.000 inch
3632,https://m.media-amazon.com/images/I/416a5JBeVdL.jpg,220.0 lb
3642,https://m.media-amazon.com/images/I/416bcjP5BCL.jpg,500 gram
3644,https://m.media-amazon.com/images/I/416cJA9W-wL.jpg,1500LBS
3652,https://m.media-amazon.com/images/I/416efMtrrtL.jpg,500 gram
3704,https://m.media-amazon.com/images/I/416qO6QylbL.jpg,500 gram
3709,https://m.media-amazon.com/images/I/416sQmc26OL.jpg,150 lbs
3731,https://m.media-amazon.com/images/I/416zYZpnBiL.jpg,300 lbs
3733,https://m.media-amazon.com/images/I/417+Aw9iwqL.jpg,450 LBS
3741,https://m.media-amazon.com/images/I/4170RQGPT0L.jpg,285 LBS
3747,https://m.media-amazon.com/images/I/4172KtJHIEL.jpg,250 lbs
3768,https://m.media-amazon.com/images/I/4177ZmiTviL.jpg,100lb
3781,https://m.media-amazon.com/images/I/417AlfWporL.jpg,3.08 lbs
3792,https://m.media-amazon.com/images/I/417DIN79emS.jpg,265 lb
3807,https://m.media-amazon.com/images/I/417GcQ6-s0L.jpg,45-180LBS
3830,https://m.media-amazon.com/images/I/417KfesOEjL.jpg,150kg/330lb
